id,created_at,updated_at,deleted_at,name
1,2025-07-31 06:07:48,2025-07-31 06:07:48,,Amarillo
2,2025-07-31 06:07:48,2025-07-31 06:07:48,,Azul Celeste
3,2025-07-31 06:07:48,2025-07-31 06:07:48,,Azul Marino
4,2025-07-31 06:07:48,2025-07-31 06:07:48,,Beige
5,2025-07-31 06:07:48,2025-07-31 06:07:48,,Blanco
6,2025-07-31 06:07:48,2025-07-31 06:07:48,,Blanco Perlado
7,2025-07-31 06:07:48,2025-07-31 06:07:48,,Dorado
8,2025-07-31 06:07:48,2025-07-31 06:07:48,,Gris Claro
9,2025-07-31 06:07:48,2025-07-31 06:07:48,,Gris Oscuro
10,2025-07-31 06:07:48,2025-07-31 06:07:48,,Marrón
11,2025-07-31 06:07:48,2025-07-31 06:07:48,,Morado
12,2025-07-31 06:07:48,2025-07-31 06:07:48,,Naranja
13,2025-07-31 06:07:48,2025-07-31 06:07:48,,Negro
14,2025-07-31 06:07:48,2025-07-31 06:07:48,,Rojo
15,2025-07-31 06:07:48,2025-07-31 06:07:48,,Rojo Perlado
16,2025-07-31 06:07:48,2025-07-31 06:07:48,,Rojo Vino
17,2025-07-31 06:07:48,2025-07-31 06:07:48,,Rosado
18,2025-07-31 06:07:48,2025-07-31 06:07:48,,Verde Claro
19,2025-07-31 06:07:48,2025-07-31 06:07:48,,Verde Oliva
20,2025-07-31 06:07:48,2025-07-31 06:07:48,,Verde Oscuro
