id,created_at,updated_at,deleted_at,name,vehicle_make_id,vehicle_type_id,code,vehicle_utility_id
2,2025-06-26 19:27:28,2025-06-26 19:27:28,,Sportage,20,2,,
4,2025-06-27 08:46:01,2025-06-27 08:46:01,,STAR 5 VAN,91,10,,
5,2025-06-27 08:49:10,2025-06-27 08:50:05,,XC40,36,2,,
1,2025-06-26 18:56:03,2025-07-03 12:28:05,,MDX,1,2,4,
3,2025-06-26 18:56:03,2025-07-03 12:28:05,,T L,1,1,6,
6,2025-06-26 18:56:03,2025-07-03 12:28:05,,RDX,1,2,5,
7,2025-06-26 18:56:03,2025-07-03 12:28:05,,TSX,1,1,7,
8,2025-06-26 18:56:03,2025-07-03 12:28:05,,LEGEND,1,1,3,
13,2025-06-26 18:56:03,2025-07-03 12:28:05,,INTEGRA,1,1,2,
36,2025-06-26 18:56:03,2025-07-03 12:28:05,,CONTINENTAL,3,1,24,
39,2025-06-26 18:56:03,2025-07-03 12:28:05,,X6,4,2,660,
40,2025-06-26 18:56:03,2025-07-03 12:28:05,,X5,4,2,641,
47,2025-06-26 18:56:03,2025-07-03 12:28:05,,525I,4,1,606,
70,2025-06-26 18:56:03,2025-07-03 12:28:05,,320I,4,1,603,
88,2025-06-26 18:56:03,2025-07-03 12:28:05,,328I,4,1,605,
109,2025-06-26 18:56:03,2025-07-03 12:28:05,,ESCALADE,5,2,43,
113,2025-06-26 18:56:03,2025-07-03 12:28:05,,CTS,5,1,41,
119,2025-06-26 18:56:03,2025-07-03 12:28:05,,DE VILLE,5,1,42,
122,2025-06-26 18:56:03,2025-07-03 12:28:05,,CORVETTE,6,1,59,
424,2025-06-26 18:56:03,2025-07-03 12:28:05,,HD 65,15,9,648,
1601,2025-06-26 18:57:33,2025-07-03 12:28:06,,TOWN  COUNTRY,7,6,87,
1602,2025-06-26 18:57:33,2025-07-03 12:28:06,,DS3,8,1,89,
123,2025-06-26 18:56:03,2025-07-03 12:28:05,,SUBURBAN,6,2,72,
124,2025-06-26 18:56:03,2025-07-03 12:28:05,,TAHOE,6,2,73,
131,2025-06-26 18:56:03,2025-07-03 12:28:05,,CAMARO,6,1,51,
132,2025-06-26 18:56:03,2025-07-03 12:28:05,,TRAIL BLAZER,6,2,75,
133,2025-06-26 18:56:03,2025-07-03 12:28:05,,TRAVERSE,6,2,76,
135,2025-06-26 18:56:03,2025-07-03 12:28:05,,COLORADO,6,4,58,
137,2025-06-26 18:56:03,2025-07-03 12:28:05,,EQUINOX,6,2,62,
138,2025-06-26 18:56:03,2025-07-03 12:28:05,,TRAX,6,2,77,
139,2025-06-26 18:56:03,2025-07-03 12:28:05,,TRACKER,6,2,74,
141,2025-06-26 18:56:03,2025-07-03 12:28:05,,CRUZE,6,1,60,
144,2025-06-26 18:56:03,2025-07-03 12:28:05,,CAPTIVA,6,2,53,
145,2025-06-26 18:56:03,2025-07-03 12:28:05,,IMPALA,6,1,65,
147,2025-06-26 18:56:03,2025-07-03 12:28:05,,EXPRESS,6,10,63,
151,2025-06-26 18:56:03,2025-07-03 12:28:05,,N300,6,6,645,
153,2025-06-26 18:56:03,2025-07-03 12:28:05,,AVEO,6,1,49,
155,2025-06-26 18:56:03,2025-07-03 12:28:05,,SPARK,6,1,71,
156,2025-06-26 18:56:03,2025-07-03 12:28:05,,SONIC,6,1,610,
159,2025-06-26 18:56:03,2025-07-03 12:28:05,,CMV,6,1,56,
160,2025-06-26 18:56:03,2025-07-03 12:28:05,,BLAZER,6,2,50,
161,2025-06-26 18:56:03,2025-07-03 12:28:05,,EPICA,6,1,61,
164,2025-06-26 18:56:03,2025-07-03 12:28:05,,HHR,6,1,64,
165,2025-06-26 18:56:03,2025-07-03 12:28:05,,OPTRA,6,1,48,
166,2025-06-26 18:56:03,2025-07-03 12:28:05,,UPLANDER,6,6,78,
168,2025-06-26 18:56:03,2025-07-03 12:28:05,,CAVALIER,6,1,54,
174,2025-06-26 18:56:03,2025-07-03 12:28:05,,COBALT,6,1,57,
175,2025-06-26 18:56:03,2025-07-03 12:28:05,,CMP,6,1,55,
180,2025-06-26 18:56:03,2025-07-03 12:28:05,,ASTRA,6,1,47,
189,2025-06-26 18:56:03,2025-07-03 12:28:05,,NOVA,6,1,67,
191,2025-06-26 18:56:03,2025-07-03 12:28:05,,300,7,1,80,
195,2025-06-26 18:56:03,2025-07-03 12:28:05,,ASPEN,7,2,82,
199,2025-06-26 18:56:03,2025-07-03 12:28:05,,PACIFICA,7,6,83,
222,2025-06-26 18:56:03,2025-07-03 12:28:05,,DELTA,9,5,528,
223,2025-06-26 18:56:03,2025-07-03 12:28:05,,TERIOS,9,2,100,
227,2025-06-26 18:56:03,2025-07-03 12:28:05,,SIRION,9,1,97,
229,2025-06-26 18:56:03,2025-07-03 12:28:05,,YRV,9,1,101,
230,2025-06-26 18:56:03,2025-07-03 12:28:05,,STORIA,9,1,99,
232,2025-06-26 18:56:03,2025-07-03 12:28:05,,BOOM,9,1,93,
233,2025-06-26 18:56:03,2025-07-03 12:28:05,,MIRA,9,1,96,
235,2025-06-26 18:56:03,2025-07-03 12:28:05,,CHARADE,9,1,94,
239,2025-06-26 18:56:03,2025-07-03 12:28:05,,CHALLENGER,10,1,109,
242,2025-06-26 18:56:03,2025-07-03 12:28:05,,DURANGO,10,2,112,
245,2025-06-26 18:56:03,2025-07-03 12:28:05,,CHARGER,10,1,110,
246,2025-06-26 18:56:03,2025-07-03 12:28:05,,CARAVAN,10,6,108,
247,2025-06-26 18:56:03,2025-07-03 12:28:05,,GRAND CARAVAN,10,6,113,
248,2025-06-26 18:56:03,2025-07-03 12:28:05,,JOURNEY,10,2,114,
251,2025-06-26 18:56:03,2025-07-03 12:28:05,,DAKOTA,10,4,111,
252,2025-06-26 18:56:03,2025-07-03 12:28:05,,CALIBER,10,1,106,
253,2025-06-26 18:56:03,2025-07-03 12:28:05,,NITRO,10,2,117,
257,2025-06-26 18:56:03,2025-07-03 12:28:05,,DART,10,1,584,
258,2025-06-26 18:56:03,2025-07-03 12:28:05,,MAGNUM,10,1,115,
263,2025-06-26 18:56:03,2025-07-03 12:28:05,,NEON,10,1,116,
266,2025-06-26 18:56:03,2025-07-03 12:28:05,,STRATUS,10,1,119,
268,2025-06-26 18:56:03,2025-07-03 12:28:05,,500,11,1,129,
273,2025-06-26 18:56:03,2025-07-03 12:28:05,,PALIO,11,1,133,
274,2025-06-26 18:56:03,2025-07-03 12:28:05,,DOBLO,11,5,131,
276,2025-06-26 18:56:03,2025-07-03 12:28:05,,FIORINO,11,5,132,
277,2025-06-26 18:56:03,2025-07-03 12:28:05,,CROMA,11,1,130,
290,2025-06-26 18:56:03,2025-07-03 12:28:05,,F-150,12,4,148,
291,2025-06-26 18:56:03,2025-07-03 12:28:05,,EXPEDITION,12,2,146,
292,2025-06-26 18:56:03,2025-07-03 12:28:05,,MUSTANG,12,1,157,
293,2025-06-26 18:56:03,2025-07-03 12:28:05,,EXPLORER,12,2,147,
294,2025-06-26 18:56:03,2025-07-03 12:28:05,,EVEREST,12,2,144,
295,2025-06-26 18:56:03,2025-07-03 12:28:05,,F-450,12,3,151,
296,2025-06-26 18:56:03,2025-07-03 12:28:05,,F 350,12,4,150,
299,2025-06-26 18:56:03,2025-07-03 12:28:05,,F 250,12,4,149,
301,2025-06-26 18:56:03,2025-07-03 12:28:05,,EDGE,12,2,142,
302,2025-06-26 18:56:03,2025-07-03 12:28:05,,RANGER,12,4,158,
303,2025-06-26 18:56:03,2025-07-03 12:28:05,,TAURUS,12,1,159,
304,2025-06-26 18:56:03,2025-07-03 12:28:05,,TRANSIT,12,10,160,
307,2025-06-26 18:56:03,2025-07-03 12:28:05,,ESCAPE,12,2,143,
343,2025-06-26 18:56:03,2025-07-03 12:28:05,,YUKON,13,2,167,
344,2025-06-26 18:56:03,2025-07-03 12:28:05,,ACADIA,13,2,162,
367,2025-06-26 18:56:03,2025-07-03 12:28:05,,CIVIC,14,1,171,
368,2025-06-26 18:56:03,2025-07-03 12:28:05,,ODYSSEY,14,6,179,
369,2025-06-26 18:56:03,2025-07-03 12:28:05,,ACCORD,14,1,168,
370,2025-06-26 18:56:03,2025-07-03 12:28:05,,PILOT,14,2,180,
371,2025-06-26 18:56:03,2025-07-03 12:28:05,,CR-V,14,2,173,
372,2025-06-26 18:56:03,2025-07-03 12:28:05,,RIDGELINE,14,4,181,
373,2025-06-26 18:56:03,2025-07-03 12:28:05,,CROSS-TOUR,14,2,172,
374,2025-06-26 18:56:03,2025-07-03 12:28:05,,HR-V,14,2,614,
375,2025-06-26 18:56:03,2025-07-03 12:28:05,,CITY,14,1,587,
