ID;Nombre;Nombre CRM
1;ACURA;ACURA
2;AUDI;AUDI
3;BENTLEY;BENTLEY
4;BMW;BMW
5;CADILLAC;CADILLAC
6;CHEVROLET;CHEVROLET
7;CHRYSLER;CHRYSLER
8;CITROEN;CITROEN
9;DAIHATSU;DAIHATSU
10;DODGE;DODGE
11;FIAT;FIAT
12;FORD;FORD
13;GMC;GMC
14;HONDA;HONDA
15;HYUNDAI;HYUNDAI
16;INFINITI;INFINITI
17;ISUZU;ISUZU
18;JAGUAR;JAGUAR
19;JEEP;JEEP
20;kia;KIA
21;LAND ROVER;LAND ROVER
22;LEXUS;LEXUS
23;LINCOLN;LINCOLN
24;MAZDA;MAZDA
25;MERCEDES BENZ;MERCEDES BENZ
26;MINI;MINI
27;MITSUBISHI;MITSUBISHI
28;NISSAN;NISSAN
29;PEUGEOT;PEUGEOT
30;PORSCHE;PORSCHE
31;RENAULT;RENAULT
32;SUBARU;SUBARU
33;SUZUKI;SUZUKI
34;TOYOTA;TOYOTA
35;VOLKSWAGEN;VOLKSWAGEN
36;VOLVO;VOLVO
85;TESLA;TESLA
86;CHEVROLET;CHEVROLET
87;INFINITI;INFINITI
88;SsangYong;SSANGYONG
89;SSANG YONG;SSANG YONG
90;HINO;HINO
91;changan;CHANGAN
92;JAC;JAC
93;SEAT;SEAT
94;ORA;ORA
95;MG;MG
96;HUMMER;HUMMER
97;PONTIAC;PONTIAC
98;HELMARV;HELMARV
99;DONGFENG;DONGFENG
100;HELMARV;HELMARV
101;BRILLIANCE;BRILLIANCE
102;CHANA;CHANA
103;BRILLIANCE;BRILLIANCE
104;ALFA ROMEO;ALFA ROMEO
105;nissan;NISSAN
106;BESTUNE;BESTUNE
107;Bestune;BESTUNE
108;BESTUNE;BESTUNE
109;RAM;RAM
110;swm;SWM
111;go electric;GO ELECTRIC
112;jetour;JETOUR
113;MAXUS;MAXUS
114;JETOUR;JETOUR
115;jetour;JETOUR
116;dongfeng;DONGFENG
117;buick;BUICK
118;shineray;SHINERAY
119;Gac;GAC
120;byd;BYD
121;maserati;MASERATI
122;forthing;FORTHING
123;CENNTRO;CENNTRO
124;cenntro;CENNTRO
125;CHERY;CHERY
126;geely;GEELY
127;baic;BAIC
128;kaiyi;KAIYI
129;radar;RADAR
130;AIQAR;AIQAR
131;KGM;KGM
132;Wuiling;WUILING
