ID;Marca de veh¡culo;Modelo de veh¡culo;Tipo de veh¡culo;Marca CRM;Modelo CRM
1;ACURA;MDX;Autom½vil;ACURA;MDX
3;ACURA;T L;Autom½vil;ACURA;T L
6;ACURA;RDX;Autom½vil;ACURA;RDX
7;ACURA;TSX;Autom½vil;ACURA;TSX
8;ACURA;LEGEND;Autom½vil;ACURA;LEGEND
13;ACURA;INTEGRA;Autom½vil;ACURA;INTEGRA
36;BENTLEY;CONTINENTAL;Autom½vil;BENTLEY;CONTINENTAL
39;BMW;X6;Autom½vil;BMW;X6
40;BMW;X5;Autom½vil;BMW;X5
47;BMW;525I;Autom½vil;BMW;525I
70;BMW;320I;Autom½vil;BMW;320I
88;BMW;328I;Autom½vil;BMW;328I
109;CADILLAC;ESCALADE;Autom½vil;CADILLAC;ESCALADE
113;CADILLAC;CTS;Autom½vil;CADILLAC;CTS
119;CADILLAC;DE VILLE;Autom½vil;CADILLAC;DE VILLE
122;CHEVROLET;CORVETTE;Autom½vil;CHEVROLET;CORVETTE
123;CHEVROLET;SUBURBAN;Autom½vil;CHEVROLET;SUBURBAN
124;CHEVROLET;TAHOE;Autom½vil;CHEVROLET;TAHOE
131;CHEVROLET;CAMARO;Autom½vil;CHEVROLET;CAMARO
132;CHEVROLET;TRAIL BLAZER;Autom½vil;CHEVROLET;TRAIL BLAZER
133;CHEVROLET;TRAVERSE;Autom½vil;CHEVROLET;TRAVERSE
135;CHEVROLET;COLORADO;Autom½vil;CHEVROLET;COLORADO
137;CHEVROLET;EQUINOX;Autom½vil;CHEVROLET;EQUINOX
138;CHEVROLET;TRAX;Autom½vil;CHEVROLET;TRAX
139;CHEVROLET;TRACKER;Autom½vil;CHEVROLET;TRACKER
141;CHEVROLET;CRUZE;Autom½vil;CHEVROLET;CRUZE
144;CHEVROLET;CAPTIVA;Autom½vil;CHEVROLET;CAPTIVA
145;CHEVROLET;IMPALA;Autom½vil;CHEVROLET;IMPALA
147;CHEVROLET;EXPRESS;Autom½vil;CHEVROLET;EXPRESS
151;CHEVROLET;N300;Autom½vil;CHEVROLET;N300
153;CHEVROLET;AVEO;Autom½vil;CHEVROLET;AVEO
155;CHEVROLET;SPARK;Autom½vil;CHEVROLET;SPARK
156;CHEVROLET;SONIC;Autom½vil;CHEVROLET;SONIC
159;CHEVROLET;CMV;Autom½vil;CHEVROLET;CMV
160;CHEVROLET;BLAZER;Autom½vil;CHEVROLET;BLAZER
161;CHEVROLET;EPICA;Autom½vil;CHEVROLET;EPICA
164;CHEVROLET;HHR;Autom½vil;CHEVROLET;HHR
165;CHEVROLET;OPTRA;Autom½vil;CHEVROLET;OPTRA
166;CHEVROLET;UPLANDER;Autom½vil;CHEVROLET;UPLANDER
168;CHEVROLET;CAVALIER;Autom½vil;CHEVROLET;CAVALIER
174;CHEVROLET;COBALT;Autom½vil;CHEVROLET;COBALT
175;CHEVROLET;CMP;Autom½vil;CHEVROLET;CMP
180;CHEVROLET;ASTRA;Autom½vil;CHEVROLET;ASTRA
189;CHEVROLET;NOVA;Autom½vil;CHEVROLET;NOVA
191;CHRYSLER;300;Autom½vil;CHRYSLER;300
